1.wav|an22 ts2 oo22 tsch2 i21
2.wav|ng22 oon21
3.wav|v2 an22 oon21
4.wav|s2 irt28 p2 au22 m2 ang25
5.wav|tsh2 oo21 am23 p2 u21 h2 oo22 s2 ooi23 m2 oo25
6.wav|n25 k2 im21 p2 u21 gn2 it24 k2 am22 k2 ook24 gn2 ioong22 p2 an21
7.wav|n25 k2 im21 p2 u21 gn2 it24 h2 i23 s2 et24 t2 oong21 h2 oo22
8.wav|n25 k2 im21 p2 u21 gn2 it24 tsch2 in23 iu21 tsc2 in21 s2 irn25
9.wav|n25 k2 im21 p2 u21 gn2 it24 kh2 oon23 h2 i22 l2 ooi25 t2 oong21 kh2 iooi23 k2 e23 ioong23 e22
10.wav|n25 iu21 m2 a22 k2 e23 sc2 im21 s2 ir23 h2 e23 m2 oo25
11.wav|h2 e23 gn2 ioong22 p2 an21 h2 in25
12.wav|tsh2 oo21 am23 p2 u21 m2 oo25 s2 ooi23 h2 oo22
13.wav|n25 ia22 h2 a23 ooi23 h2 iet24 kh2 un23 it24 h2 a23 m2 oo25
14.wav|n25 ph2 in25 s2 oong25 t2 u23 s2 ooi23 m25 h2 oo22 h2 e23 m2 oo25
15.wav|ph2 in25 s2 oong25 k2 e23 k2 ung21 ts2 ook24 ap24 l2 it28 tsch2 in23 th2 ai23
16.wav|ng2 ai25 tsh2 oong25 th2 eu23 am23 p2 u21 ia23 s2 ooi23 m25 h2 oo22
17.wav|f2 an22 tsh2 au23 s2 ooi23 m25 th2 et24 tsch2 in23 k2 an21 kh2 u22
18.wav|tsch2 in23 f2 oon21 h2 i22 n25 ia22 h2 a23 ts2 oo23 t2 et24 s2 ooi23 t2 et24 h2 oo22
19.wav|h2 e23 m25 h2 e23 iu21 m2 a22 k2 e23 m2 un23 th2 i25
20.wav|m2 oo25 m2 a22 k2 e23 ts2 ui23 kh2 iun21 h2 a23 m2 oo25 h2 an25
21.wav|ooi23 h2 iet24 kh2 un23 it24 h2 a23 m2 oo25
22.wav|kh2 oon23 m2 un25 ts2 irn21 ts2 oo23 t2 et24 iung23 th2 ien23 f2 a23 ia23 h2 e23 m2 ioong22 l2 u23 sc2 ien21 k2 ua23 h2 oo23
23.wav|tsch2 iang22 t2 i23 h2 eu23 ts2 irn21 kh2 i21 tsch2 iam23 tsh2 oo21 it24 h2 a23
24.wav|t2 i23 t2 en21 h2 oo23 p2 an22 ts2 oo23 t2 et24 kh2 oon23 t2 oo22 n25 k2 ua23 h2 oo23 k2 e23 h2 oo23 m2 a21
25.wav|tsch2 iang22 tsc2 ioong21 kh2 ien23 p2 oo22 kh2 a25 p2 un21 ng2 ai25
26.wav|ng2 ai25 sc2 ien21 th2 ung25 n25 oon21 ph2 ai25 gn2 iam23 h2 iet24 l2 au21 gn2 iam23 gn2 iau23
27.wav|ng2 ai25 ooi23 th2 ung25 n25 oon21 ph2 ai25 ts2 oo23 v2 i23 k2 iang23 k2 iam22 tsh2 a25
28.wav|n2 a21 ph2 i21 k2 a23 t2 an21 t2 oo23 tsh2 ut24 n2 ap28 kh2 ui23 th2 ooi25 k2 ieu22 f2 i23
29.wav|v2 i23 s2 oo22 h2 e23 tsch2 im25 m25 t2 oo22 ts2 oo23 t2 et24 h2 i23 ts2 ir23 k2 ung21 f2 uk28 v2 u23 th2 ooi25 m2 un23 it24 h2 a23
30.wav|tsch2 iang22 n2 a21 gn2 ia21 k2 e23 tsh2 u22 f2 oong21 t2 oo23 iook28 f2 oong25 l2 iang21 iook28 e22
31.wav|tsch2 iang22 ts2 eu23 h2 oo23 m2 a21 l2 ooi25 l2 iang21 iook28 e22
32.wav|tsch2 iang22 ts2 eu23 iook28 th2 ooi23 t2 ang22 k2 e23 ts2 ir22 s2 ir23 f2 uk28 iook28
33.wav|h2 e23 iu21 iook28 e22 f2 oong21 m2 ien23 k2 e23 m2 un23 th2 i25 ts2 oo23 t2 et24 h2 i23 m2 un23 iook28 s2 ir21
34.wav|iu21 k2 uan21 kh2 ien23 kh2 oong21 m2 un23 th2 i25 ts2 oo23 t2 et24 h2 i23 v2 i23 k2 au23 s2 irt24 m2 un23 v2 i23 k2 au23 s2 ir21
35.wav|n25 ts2 oo23 t2 et24 h2 i23 i21 ien23 h2 ien23 tsh2 oong25 k2 ua23 h2 oo23
36.wav|tsh2 irt28 tsc2 iap24 t2 oo23 k2 ua23 h2 oo23 tsh2 u23 k2 ua23 h2 oo23 tsch2 iu23 ts2 oo23 t2 et24
37.wav|tsch2 iang22 m2 un23 ooi23 t2 oo23 n2 ai23 v2 i23 k2 ieu22 f2 i23
38.wav|n25 t2 oo23 k2 e23 ph2 ien22 kh2 ui23 th2 ooi25 k2 ieu22 f2 i23 tsch2 iu23 ts2 oo23 t2 et24
